Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily
USDPLN=X,USDPLN=X_10_149_10,MACD,-1.12822916666667,4.55975899519901,-8.03,4.2925,-6.07291666666667,238.121828300435,-445.95,308.7,9950,384
USDPLN=X,USDPLN=X_21_60_35,MACD,-1.50114583333333,5.71768371758164,-12.41,7.935,55.6484375,351.391948781657,-505.45,820.849999999997,6792,384
USDPLN=X,USDPLN=X_17_60_53,MACD,-2.45354166666667,8.33276992920016,-16.21,14.81,44.9348958333333,395.939182806465,-450.2,808.8,6448,384
USDPLN=X,USDPLN=X_25_149_7,MACD,-3.57916666666667,5.51692528147731,-12.2,3.93,-0.7265625,285.001444222728,-485.7,448.4,8290,384
USDPLN=X,USDPLN=X_17_72_35,MACD,-3.7953125,5.52022805652562,-13.61,2.2725,-3.38802083333333,435.662890925718,-512.4,621.4,7096,384
USDPLN=X,USDPLN=X_25_60_53,MACD,-3.798125,9.04333663533543,-17.46,15.5725,15.7447916666667,295.058063894902,-439,550.099999999999,6236,384
USDPLN=X,USDPLN=X_17_149_7,MACD,-3.9734375,3.71469509356527,-11.44,0.5375,-42.4401041666667,202.31368389293,-437.85,226.55,9425,384
USDPLN=X,USDPLN=X_14_60_80,MACD,-4.60041666666667,6.5500000669613,-15.26,4.77,2.4296875,332.200441637944,-444.45,398.85,6664,384
USDPLN=X,USDPLN=X_14_104_53,MACD,-4.76135416666667,8.54489525910266,-18.21,13.455,-11.6302083333333,316.280180716903,-448.1,466.25,6180,384
USDPLN=X,USDPLN=X_14_72_80,MACD,-4.78104166666667,8.75866914658262,-17.87,8.105,4.546875,313.312918249738,-420.15,508.65,6057,384
USDPLN=X,USDPLN=X_14_72_53,MACD,-4.79614583333333,6.07997478696152,-16.92,3.525,-2.015625,234.071589249108,-378.6,395.7,6744,384
USDPLN=X,USDPLN=X_12_60_80,MACD,-4.88927083333333,7.10801123193018,-16.22,5.5675,-6.45052083333333,318.138117450872,-440,385.35,6772,384
USDPLN=X,USDPLN=X_21_124_120,MACD,-5.00916666666667,9.29213200471143,-19.56,2.11,-10.6614583333333,147.409307335906,-258.85,195.7,4389,384
USDPLN=X,USDPLN=X_21_149_7,MACD,-5.0159375,3.90933473358454,-12.92,-0.2325,-44.03125,224.267811422435,-487.05,304.7,9105,384
USDPLN=X,USDPLN=X_25_86_24,MACD,-5.1325,5.60448166531412,-14.76,2.5525,3.76822916666667,342.97953555252,-500.85,583.25,6878,384
USDPLN=X,USDPLN=X_10_72_53,MACD,-5.22708333333333,6.48450021069135,-16.3,0.8975,17.2604166666667,339.231992209947,-365.2,389.9,7055,384
USDPLN=X,USDPLN=X_25_149_10,MACD,-5.24552083333333,5.5111062734678,-14.43,3.78,-9.40104166666667,272.469061839113,-406.55,351.25,7157,384
USDPLN=X,USDPLN=X_12_72_53,MACD,-5.2853125,6.59677671739847,-16,1.3575,-1.71875,253.416537699564,-362.85,333.55,7006,384
USDPLN=X,USDPLN=X_30_60_53,MACD,-5.3446875,9.26166245769425,-17.61,16.58,-12.1640625,280.969901029912,-488.85,531.599999999999,6333,384
