Symbol,Class,Methodology,Ndx,Trend_Strength,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
EURUSD=X,FX,ADX:,15,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Active,-45,-3.55,2,2,15.73,246,1,-25.63,-27,-23,-14.55,77,1,2,25,-5.25,0,-0.1385,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_15_35_TRUE_FALSE_5_0.1_3,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_15_35_TRUE_FALSE_5_0.1_3,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Active,-45,-3.55,2,2,15.73,246,1,-25.63,-27,-23,-14.55,77,1,2,25,-5.25,0,-0.1385,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_15_35_TRUE_FALSE_5_0.1_7,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_15_35_TRUE_FALSE_5_0.1_7,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Active,-45,-3.55,2,2,15.73,246,1,-25.63,-27,-23,-14.55,77,1,2,25,-5.25,0,-0.1385,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_15_35_FALSE_FALSE_5_0.1_7,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_15_35_FALSE_FALSE_5_0.1_7,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,3,1000,Active,-120,-9.6,140,125,15.12,153,1,-31.67,-217,-74,-14.49,19,2,4,25,12.75,25,-0.3031,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_15_35_FALSE_TRUE_5_0.1_3,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,3,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_15_35_FALSE_TRUE_5_0.1_3,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,7,1000,Active,-120,-9.6,140,125,15.12,153,1,-31.67,-217,-74,-14.49,19,2,4,25,12.75,25,-0.3031,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_15_35_FALSE_TRUE_5_0.1_7,EURUSD=X_15
EURUSD=X,FX,ADX:,15,35,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_15_35_FALSE_TRUE_5_0.1_7,EURUSD=X_15
USDPLN=X,FX,ADX:,6,35,TRUE,FALSE,USDPLN=X,out_of_sample,5,0.1,3,1000,Active,-44,-3.5,150,78,24.8,38,5,-39.5,-135,-111,-22.64,19,3,8,50,-16.5,45,-0.0886,2024-01-02 to 2025-03-21,USDPLN=X_Active_ADX:_6_35_TRUE_FALSE_5_0.1_3,USDPLN=X_6
USDPLN=X,FX,ADX:,6,35,TRUE,FALSE,USDPLN=X,out_of_sample,5,0.1,3,1000,Passive,-171,-13.8,Not Applicable,Not Applicable,24.21,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-22.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.377,2024-01-02 to 2025-03-21,USDPLN=X_Passive_ADX:_6_35_TRUE_FALSE_5_0.1_3,USDPLN=X_6
USDPLN=X,FX,ADX:,6,35,TRUE,FALSE,USDPLN=X,out_of_sample,5,0.1,7,1000,Active,-44,-3.5,150,78,24.8,38,5,-39.5,-135,-111,-22.64,19,3,8,50,-16.5,45,-0.0886,2024-01-02 to 2025-03-21,USDPLN=X_Active_ADX:_6_35_TRUE_FALSE_5_0.1_7,USDPLN=X_6
USDPLN=X,FX,ADX:,6,35,TRUE,FALSE,USDPLN=X,out_of_sample,5,0.1,7,1000,Passive,-171,-13.8,Not Applicable,Not Applicable,24.21,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-22.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.377,2024-01-02 to 2025-03-21,USDPLN=X_Passive_ADX:_6_35_TRUE_FALSE_5_0.1_7,USDPLN=X_6
USDPLN=X,FX,ADX:,6,35,TRUE,TRUE,USDPLN=X,out_of_sample,5,0.1,3,1000,Active,-148,-11.9,102,58,24.38,31,4,-46.06,-128,-102,-22,19,3,10,42,-18.48,40,-0.2584,2024-01-02 to 2025-03-21,USDPLN=X_Active_ADX:_6_35_TRUE_TRUE_5_0.1_3,USDPLN=X_6
USDPLN=X,FX,ADX:,6,35,TRUE,TRUE,USDPLN=X,out_of_sample,5,0.1,3,1000,Passive,-171,-13.8,Not Applicable,Not Applicable,24.21,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-22.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.377,2024-01-02 to 2025-03-21,USDPLN=X_Passive_ADX:_6_35_TRUE_TRUE_5_0.1_3,USDPLN=X_6
USDPLN=X,FX,ADX:,7,35,FALSE,TRUE,USDPLN=X,out_of_sample,5,0.1,7,1000,Active,966,70.88,383,160,27.29,43,5,-24.1,-53,-38,-27.93,19,2,6,58,70.76,61,2.9411,2024-01-02 to 2025-03-21,USDPLN=X_Active_ADX:_7_35_FALSE_TRUE_5_0.1_7,USDPLN=X_7
USDPLN=X,FX,ADX:,7,35,FALSE,TRUE,USDPLN=X,out_of_sample,5,0.1,7,1000,Passive,-171,-13.8,Not Applicable,Not Applicable,24.21,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-22.49,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.377,2024-01-02 to 2025-03-21,USDPLN=X_Passive_ADX:_7_35_FALSE_TRUE_5_0.1_7,USDPLN=X_7
^TYX,Fixed Income,ADX:,10,25,FALSE,FALSE,^TYX,out_of_sample,1,0.1,7,1000,Active,195,15.76,110,68,9.32,69,3,-11.38,-40,-24,-10.02,11,4,6,42,18.48,46,1.3849,2024-01-02 to 2025-03-21,^TYX_Active_ADX:_10_25_FALSE_FALSE_1_0.1_7,^TYX_10
^TYX,Fixed Income,ADX:,10,25,FALSE,FALSE,^TYX,out_of_sample,1,0.1,7,1000,Passive,121,9.89,Not Applicable,Not Applicable,11.03,Not Applicable,Not Applicable,-18.59,Not Applicable,Not Applicable,-9.89,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.532,2024-01-02 to 2025-03-21,^TYX_Passive_ADX:_10_25_FALSE_FALSE_1_0.1_7,^TYX_10
